city,latitude,longitude
札幌市,43.0617713,141.3544506
函館市,41.7686961,140.7290599
旭川市,43.7708833,142.3650083
弘前市,40.6030626,140.4640543
八戸市,40.5122055,141.4882743
盛岡市,39.7019558,141.1543303
仙台市,38.268195,140.869418
鶴岡市,38.7271972,139.8267422
郡山市,37.40047759999999,140.3596822
いわき市,37.0505055,140.8877435
水戸市,36.3658764,140.4713723
つくば市,36.0835255,140.0764454
宇都宮市,36.5550745,139.8826209
足利市,36.3401874,139.4497602
前橋市,36.3894669,139.0634134
高崎市,36.3220692,139.0033576
さいたま市,35.8616486,139.6454782
川越市,35.9251335,139.4858042
所沢市,35.799423,139.4687112
船橋市,35.6945485,139.9827277
柏市,35.8675958,139.9757575
東京都,35.6764225,139.650027
八王子市,35.6664381,139.3160068
町田市,35.546656,139.4385568
横浜市,35.4436739,139.6379639
川崎市,35.5308325,139.7029125
相模原市,35.5712568,139.373427
長岡市,37.4465187,138.8513499
金沢市,36.5597341,136.6520376
甲府市,35.662133,138.5683001
松本市,36.2380434,137.9719897
浜松市,34.7102752,137.7274159
名古屋市,35.18145060000001,136.9065571
豊田市,35.0825559,137.1561276
津市,34.7186389,136.5052256
四日市市,34.9651064,136.6244121
大津市,35.0178371,135.8552084
堺市,34.5733261,135.4831176
神戸市,34.6900806,135.1956311
姫路市,34.8154176,134.6855509
松江市,35.4681908,133.0484055
倉敷市,34.5849782,133.7719812
福山市,34.4859845,133.3624239
下関市,33.95752969999999,130.9411759
高松市,34.342542,134.0465405
松山市,33.8355117,132.7639923
北九州市,33.8834976,130.8751773
久留米市,33.3192356,130.5083557
佐世保市,33.1804356,129.7157996
別府市,33.2844614,131.4907093
那覇市,26.2130411,127.6785471
